,index,sqft
825,"1,396",38
826,"1,833",38
827,"2,356",38
828,"2,529",38
829,994,38
830,"1,336",38
831,"1,878",38
832,"1,805",38
833,620,38
834,"1,815",38
835,"2,322",38
836,"1,657",38
837,"1,377",38
838,500,38
839,"1,514",38
840,1860,38
841,"1,952",38
842,"2,056",38
843,"1,495",38
844,"1,203",38
845,"2,116",38
846,"1,162",38
847,"1,549",38
848,"2,164",38
849,"2,678",38
850,"1,995",38
851,"2,093",38
852,550,38
853,"1,732",38
854,"1,583",38
855,1840,38
856,993,38
857,"2,390",38
858,"1,785",38
859,"1,967",38
860,"1,507",38
861,"2,239",38
862,"1,869",38
863,"2,062",38
864,"1,298",38
865,1584,38
866,"2,085",38
867,"1,563",38
868,1536,38
869,"2,020",38
870,775,38
871,1556,38
872,"2,308",37
873,"1,958",37
874,"1,654",37
875,"1,414",37
876,"2,022",37
877,"2,009",37
878,891,37
879,"1,273",37
880,"1,389",37
881,1380,37
882,"1,038",37
883,"1,406",37
884,"1,826",37
885,"2,244",37
886,"1,707",37
887,3100,37
888,1404,37
889,"2,602",37
890,648,37
891,"1,118",37
892,"2,234",37
893,1488,37
894,"1,542",37
895,"1,889",37
896,"1,382",37
897,"2,416",37
898,"1,183",37
899,"2,084",37
900,"1,431",37
901,"2,165",37
902,"2,035",37
903,998,37
904,955,37
905,"2,710",37
906,"2,448",37
907,"1,874",37
908,"1,902",37
909,"2,082",37
910,"2,476",37
911,"1,684",37
912,"1,813",37
913,"2,242",37
914,985,37
915,"2,488",37
916,765,37
917,"1,936",37
918,"1,353",37
919,"1,231",37
920,922,37
921,"1,619",36
922,1927,36
923,"1,793",36
924,1760,36
925,"2,012",36
926,1930,36
927,"1,503",36
928,"1,723",36
929,"1,551",36
930,"2,168",36
931,"1,306",36
932,1140,36
933,915,36
934,"2,292",36
935,1672,36
936,"1,525",36
937,"1,402",36
938,"1,687",36
939,"2,780",36
940,1288,36
941,"2,275",36
942,"2,038",36
943,"1,768",36
944,1720,36
945,934,36
946,744,36
947,1368,36
948,"2,172",36
949,"1,403",36
950,"1,784",36
951,914,36
952,"2,684",36
953,"2,510",36
954,"2,148",36
955,"2,502",36
956,"1,419",36
957,1736,36
958,"1,478",36
959,"1,738",36
960,"1,606",36
961,"1,742",36
962,1580,36
963,2040,36
964,"1,923",36
965,"2,522",36
966,560,36
967,"1,843",36
968,"1,965",36
969,"1,016",35
970,"2,658",35
971,"1,269",35
972,1850,35
973,1864,35
974,902,35
975,"2,195",35
976,"1,927",35
977,"1,795",35
978,"1,802",35
979,"1,153",35
980,885,35
981,"1,237",35
982,"2,620",35
983,"2,398",35
984,"2,566",35
985,"2,307",35
986,976,35
987,"1,166",35
988,"1,364",35
989,"2,002",35
990,"1,165",35
991,2052,35
992,785,35
993,"1,917",35
994,"2,006",35
995,"2,850",35
996,"1,558",35
997,1776,35
998,"2,230",35
999,"2,425",35
1000,"1,347",35
1001,"1,565",35
1002,"2,097",35
1003,"2,432",35
1004,"2,167",35
1005,715,35
1006,"2,125",35
1007,1890,35
1008,2300,35
1009,"1,287",35
1010,"2,812",35
1011,"1,622",35
1012,"2,601",35
1013,"1,937",35
1014,"1,918",35
1015,"1,499",35
1016,"1,327",35
1017,"1,282",35
1018,"1,441",35
1019,"2,069",35
1020,"1,636",35
1021,878,35
1022,"2,436",35
1023,"1,373",35
1024,"1,711",35
1025,"1,521",35
1026,"1,575",35
1027,1632,35
1028,710,35
1029,"2,702",34
1030,"2,675",34
1031,"1,752",34
1032,"2,484",34
1033,"2,226",34
1034,"2,366",34
1035,"2,117",34
1036,999,34
1037,2250,34
1038,"1,847",34
1039,"1,205",34
1040,"2,580",34
1041,"1,035",34
1042,"1,677",34
1043,"2,336",34
1044,"1,381",34
1045,"2,760",34
1046,"1,497",34
1047,"1,946",34
1048,"2,159",34
1049,"1,764",34
1050,"2,504",34
1051,"1,838",34
1052,"2,548",34
1053,"1,746",34
1054,"1,367",34
1055,"3,700",34
1056,"1,748",34
1057,"1,135",34
1058,"2,399",34
1059,"2,158",34
1060,"3,800",34
1061,576,34
1062,962,34
1063,"1,313",34
1064,"1,413",34
1065,"4,500",34
1066,"2,249",34
1067,"2,047",34
1068,"1,722",34
1069,"1,661",34
1070,"1,534",34
1071,"1,136",34
1072,"1,279",34
1073,"1,581",34
1074,1116,34
1075,"2,156",34
1076,"2,384",34
1077,"1,531",34
1078,"2,550",34
1079,"1,577",34
1080,"1,294",34
1081,2030,34
1082,"2,328",34
1083,"2,354",34
1084,"1,983",34
1085,"2,135",34
1086,"2,444",34
1087,"2,536",34
1088,"1,143",34
1089,"1,962",34
1090,"1,681",34
1091,"1,985",34
1092,"1,537",34
1093,"1,506",34
1094,1940,34
1095,"1,395",34
1096,"1,835",34
1097,"1,971",34
1098,2280,34
1099,"2,388",34
1100,"2,036",33
1101,"2,074",33
1102,958,33
1103,"1,379",33
1104,"1,825",33
1105,"2,348",33
1106,"1,102",33
1107,1331,33
1108,"2,216",33
1109,"2,750",33
1110,894,33
1111,815,33
1112,"1,405",33
1113,"1,006",33
1114,"2,315",33
1115,"1,765",33
1116,"1,855",33
1117,"1,161",33
1118,"1,082",33
1119,"2,296",33
1120,"2,092",33
1121,2150,33
1122,"1,005",33
1123,"1,998",33
1124,1050,33
1125,"2,496",33
1126,"2,214",33
1127,"1,931",33
1128,"1,103",33
1129,755,33
1130,"2,764",33
1131,"1,149",33
1132,"1,679",33
1133,1224,33
1134,685,33
1135,"2,660",33
1136,625,33
1137,"3,006",33
1138,"2,980",33
1139,"1,307",33
1140,"1,959",33
1141,"1,678",33
1142,1392,33
1143,"2,592",33
1144,"2,532",33
1145,"1,073",33
1146,"2,043",33
1147,"1,138",33
1148,"2,188",32
1149,"1,437",32
1150,"2,940",32
1151,808,32
1152,1822,32
1153,"1,271",32
1154,"2,856",32
1155,1480,32
1156,1880,32
1157,"1,621",32
1158,"1,924",32
1159,"2,254",32
1160,"1,737",32
1161,"1,263",32
1162,"1,803",32
1163,"2,114",32
1164,"1,253",32
1165,794,32
1166,"2,145",32
1167,"1,027",32
1168,"1,239",32
1169,"2,547",32
1170,"2,636",32
1171,"1,887",32
1172,1066,32
1173,"2,133",32
1174,"2,549",32
1175,796,32
1176,"2,428",32
1177,"1,131",32
1178,"2,361",32
1179,684,32
1180,"2,688",32
1181,"2,456",32
1182,"2,049",32
1183,"2,606",32
1184,987,32
1185,"1,323",32
1186,"1,769",32
1187,"2,121",32
1188,"1,955",32
1189,"1,426",32
1190,1872,32
1191,"1,903",32
1192,"1,571",32
1193,"1,292",32
1194,"2,950",32
1195,"1,814",32
1196,"2,704",32
1197,845,32
1198,2240,32
1199,"2,243",32
1200,"2,298",32
1201,"1,461",32
1202,1590,32
1203,946,32
1204,"1,797",32
1205,759,32
1206,"1,683",32
1207,854,32
1208,"1,221",32
1209,"1,454",32
1210,"1,173",32
1211,"1,333",32
1212,"2,992",32
1213,1904,32
1214,"2,634",32
1215,"2,762",32
1216,"1,099",32
1217,978,32
1218,"1,457",32
1219,"2,816",32
1220,"2,037",32
1221,"1,628",32
1222,"1,733",32
1223,"1,486",32
1224,929,31
1225,"2,445",31
1226,2070,31
1227,"1,494",31
1228,"2,395",31
1229,"2,614",31
1230,"1,334",31
1231,"1,207",31
1232,1408,31
1233,835,31
1234,"2,415",31
1235,1870,31
1236,"1,369",31
1237,"1,427",31
1238,1748,31
1239,1270,31
1240,2120,31
1241,"2,278",31
1242,"1,462",31
1243,"2,126",31
1244,"1,978",31
1245,"2,204",31
1246,2700,31
1247,"1,831",31
1248,741,31
1249,"1,849",31
1250,"1,691",31
1251,"2,452",31
1252,1854,31
1253,"1,863",31
1254,801,31
1255,"1,623",31
1256,"2,266",31
1257,"1,767",31
1258,"1,374",31
1259,1472,31
1260,"1,626",31
1261,"1,423",31
1262,"1,948",31
1263,"1,451",31
1264,"2,464",31
1265,"2,404",31
1266,"4,200",31
1267,"2,508",31
1268,"2,108",31
1269,"2,027",31
1270,"1,597",31
1271,824,31
1272,"1,907",31
1273,735,31
1274,"1,163",31
1275,"2,470",31
1276,"1,615",31
1277,"1,781",31
1278,"1,142",31
1279,"2,534",31
1280,1490,31
1281,675,31
1282,"2,720",31
1283,"1,241",31
1284,776,31
1285,"2,406",31
1286,"1,873",31
1287,774,30
1288,"1,342",30
1289,"1,977",30
1290,"1,177",30
1291,"2,223",30
1292,"2,196",30
1293,"3,010",30
1294,729,30
1295,"1,519",30
1296,"2,270",30
1297,"1,851",30
1298,"2,804",30
1299,1804,30
1300,"1,463",30
1301,"2,518",30
1302,"1,393",30
1303,1150,30
1304,"2,495",30
1305,895,30
1306,"3,024",30
1307,"2,326",30
1308,"1,445",30
1309,1702,30
1310,"2,076",30
1311,966,30
1312,"2,115",30
1313,"1,267",30
1314,726,30
1315,"2,499",30
1316,"1,303",30
1317,"1,599",30
1318,"1,731",30
1319,"1,891",30
1320,1676,30
1321,1762,30
1322,963,30
1323,"2,721",30
1324,"1,954",30
1325,"2,582",30
1326,997,30
1327,"2,442",30
1328,"2,096",30
1329,"1,455",30
1330,"2,939",30
1331,"2,424",30
1332,"2,345",30
1333,"2,858",30
1334,"1,801",30
1335,"2,026",30
1336,"1,305",30
1337,1772,30
1338,"1,433",30
1339,"2,132",30
1340,"2,868",30
1341,"1,823",30
1342,907,30
1343,1710,30
1344,"1,209",30
1345,"1,343",30
1346,"2,383",30
1347,1624,30
1348,"3,120",30
1349,"1,858",30
1350,"1,004",30
1351,"2,005",30
1352,1876,30
1353,"2,878",30
1354,"1,071",30
1355,1832,30
1356,"1,087",30
1357,"2,139",30
1358,"2,952",30
1359,"1,487",30
1360,"1,637",30
1361,"2,233",30
1362,"2,314",30
1363,616,30
1364,959,30
1365,"1,238",30
1366,"1,211",30
1367,"2,247",29
1368,951,29
1369,"1,987",29
1370,"1,611",29
1371,1160,29
1372,"2,236",29
1373,"1,106",29
1374,2450,29
1375,"3,050",29
1376,"2,517",29
1377,1705,29
1378,"1,179",29
1379,"2,224",29
1380,1740,29
1381,"2,421",29
1382,"1,345",29
1383,919,29
1384,1696,29
1385,"2,870",29
1386,"2,155",29
1387,"1,827",29
1388,1780,29
1389,1264,29
1390,"2,672",29
1391,"2,353",29
1392,"2,202",29
1393,1508,29
1394,"1,137",29
1395,"1,385",29
1396,"1,718",29
1397,"2,338",29
1398,"1,076",29
1399,"1,790",29
1400,"1,182",29
1401,"2,561",29
1402,"2,178",29
1403,"1,517",29
1404,1716,29
1405,"1,132",29
1406,"1,939",29
1407,"1,595",29
1408,"2,147",29
1409,2128,29
1410,1856,29
1411,"1,905",29
1412,"1,899",29
1413,836,29
1414,"1,957",29
1415,2050,29
1416,1848,29
1417,"1,639",29
1418,1332,29
1419,"1,449",29
1420,1330,29
1421,"1,098",29
1422,"1,553",29
1423,1070,29
1424,"2,288",29
1425,"2,359",29
1426,"2,294",29
1427,"2,014",29
1428,"1,593",29
1429,"1,669",29
1430,"2,258",29
1431,916,29
1432,"1,559",29
1433,"2,880",29
1434,2016,29
1435,"2,058",29
1436,1003,29
1437,708,29
1438,783,29
1439,"2,916",29
1440,"2,186",29
1441,1208,29
1442,"1,686",29
1443,"2,622",28
1444,"2,141",28
1445,"2,095",28
1446,"2,574",28
1447,706,28
1448,"2,677",28
1449,"2,235",28
1450,"2,113",28
1451,"1,089",28
1452,"1,956",28
1453,"2,556",28
1454,"2,370",28
1455,"1,299",28
1456,"1,715",28
1457,"1,289",28
1458,"2,039",28
1459,1852,28
1460,"1,709",28
1461,"2,029",28
1462,1495,28
1463,"1,997",28
1464,834,28
1465,"1,658",28
1466,1810,28
1467,"2,259",28
1468,1630,28
1469,"2,098",28
1470,"2,169",28
1471,"2,105",28
1472,"1,078",28
1473,"1,157",28
1474,"1,618",28
1475,"2,528",28
1476,"1,093",28
1477,"2,333",28
1478,"2,956",28
1479,"2,369",28
1480,"2,396",28
1481,"1,839",28
1482,"2,331",28
1483,"2,378",28
1484,"2,433",28
1485,"2,438",28
1486,"1,007",28
1487,762,28
1488,725,28
1489,"2,382",28
1490,"2,166",28
1491,"2,229",28
1492,1220,28
1493,"1,859",28
1494,"1,945",28
1495,"2,874",28
1496,"2,554",28
1497,"2,441",28
1498,"1,366",28
1499,"1,538",28
1500,1902,28
1501,"1,947",28
1502,1602,28
1503,"2,330",28
1504,"2,306",28
1505,"1,659",28
1506,"2,623",28
1507,"1,543",28
1508,"2,365",28
1509,"1,929",28
1510,"2,385",28
1511,"1,783",28
1512,"2,840",28
1513,"1,994",28
1514,"1,693",28
1515,"2,481",28
1516,"2,565",28
1517,"2,679",28
1518,"1,169",28
1519,"1,853",28
1520,"2,111",28
1521,"2,777",28
1522,1792,28
1523,"2,163",28
1524,"1,489",28
1525,"2,422",28
1526,"2,862",28
1527,"2,403",27
1528,2160,27
1529,"2,154",27
1530,"1,861",27
1531,1622,27
1532,1476,27
1533,"1,057",27
1534,903,27
1535,"2,627",27
1536,"2,067",27
1537,1830,27
1538,"3,337",27
1539,"2,375",27
1540,"1,097",27
1541,1808,27
1542,"2,834",27
1543,"1,147",27
1544,"2,091",27
1545,"2,187",27
1546,"2,261",27
1547,"2,237",27
1548,2350,27
1549,"1,311",27
1550,"2,664",27
1551,"2,011",27
1552,"3,150",27
1553,"1,171",27
