,index,sqft
949,"2,198 sqft",50
950,"2,424 sqft",50
951,"1,913 sqft",50
952,"total interior livable area: 1,248 sqft",50
953,630 sqft,50
954,"2,031 sqft",50
955,"2,566 sqft",50
956,"1,131 sqft",50
957,"1,397 sqft",50
958,"1,677 sqft",50
959,725 sqft,50
960,"1,172 sqft",50
961,"total interior livable area: 1,700 sqft",50
962,"1,374 sqft",50
963,"1,651 sqft",50
964,"1,121 sqft",49
965,"2,354 sqft",49
966,"1,409 sqft",49
967,"1,787 sqft",49
968,918 sqft,49
969,"1,665 sqft",49
970,"2,072 sqft",49
971,480 sqft,49
972,"1,573 sqft",49
973,"1,829 sqft",49
974,"1,979 sqft",49
975,"2,276 sqft",49
976,938 sqft,49
977,"2,058 sqft",49
978,868 sqft,49
979,"1,229 sqft",49
980,"2,334 sqft",49
981,"1,594 sqft",49
982,806 sqft,49
983,"2,014 sqft",49
984,620 sqft,49
985,"1,563 sqft",49
986,"1,494 sqft",49
987,"1,565 sqft",49
988,"1,684 sqft",49
989,"1,687 sqft",49
990,"2,454 sqft",49
991,966 sqft,49
992,"1,974 sqft",49
993,"1,609 sqft",49
994,"2,185 sqft",49
995,"1,307 sqft",49
996,"2,820 sqft",49
997,"2,508 sqft",49
998,"2,023 sqft",49
999,"1,967 sqft",49
1000,"2,015 sqft",48
1001,"total interior livable area: 1,080 sqft",48
1002,"1,731 sqft",48
1003,965 sqft,48
1004,748 sqft,48
1005,"2,298 sqft",48
1006,"2,330 sqft",48
1007,"2,202 sqft",48
1008,"2,308 sqft",48
1009,"2,422 sqft",48
1010,"2,062 sqft",48
1011,"2,228 sqft",48
1012,"1,279 sqft",48
1013,798 sqft,48
1014,"1,837 sqft",48
1015,"2,428 sqft",48
1016,"1,713 sqft",48
1017,"2,730 sqft",48
1018,791 sqft,48
1019,"1,261 sqft",48
1020,"2,224 sqft",48
1021,998 sqft,48
1022,"2,081 sqft",48
1023,"1,509 sqft",48
1024,"1,589 sqft",48
1025,"1,915 sqft",48
1026,"2,780 sqft",48
1027,"2,296 sqft",48
1028,"2,322 sqft",48
1029,"2,178 sqft",48
1030,"2,630 sqft",48
1031,"2,414 sqft",48
1032,"2,230 sqft",48
1033,"1,311 sqft",48
1034,"2,816 sqft",48
1035,"1,107 sqft",48
1036,"2,162 sqft",48
1037,"1,154 sqft",48
1038,"2,252 sqft",47
1039,"1,733 sqft",47
1040,"1,827 sqft",47
1041,"1,405 sqft",47
1042,"1,793 sqft",47
1043,"2,116 sqft",47
1044,675 sqft,47
1045,"1,634 sqft",47
1046,"1,547 sqft",47
1047,"2,003 sqft",47
1048,"1,823 sqft",47
1049,"2,620 sqft",47
1050,"1,159 sqft",47
