,index,num_series
1987,75210,39
1988,44141,39
1989,10468,38
1990,37201,38
1991,91344,38
1992,98005,38
1993,95843,38
1994,11103,38
1995,31088,38
1996,37015,38
1997,95841,38
1998,61701,38
1999,75082,38
2000,12603,38
2001,84790,38
2002,78040,38
2003,98001,38
2004,90023,38
2005,11366,38
2006,14220,38
2007,48917,38
2008,79423,38
2009,14206,38
2010,77503,38
2011,20747,38
2012,93551,38
2013,80246,38
2014,19118,38
2015,44147,38
2016,95817,38
2017,37403,38
2018,30337,37
2019,99218,37
2020,80224,37
2021,94301,37
2022,75002,37
2023,60564,37
2024,46278,37
2025,78073,37
2026,97216,37
2027,90003,37
2028,14225,37
2029,92395,37
2030,78727,37
2031,50401,37
2032,85323,37
2033,93725,37
2034,75202,37
2035,32081,37
2036,92201,37
2037,90067,37
2038,95620,37
2039,77504,37
2040,27403,37
2041,91103,37
2042,33122,37
2043,63112,37
2044,96003,37
2045,92054,37
2046,91605,37
2047,95819,36
2048,98660,36
2049,34238,36
2050,90013,36
2051,13904,36
2052,93710,36
2053,91304,36
2054,76115,36
2055,92129,36
2056,02118,36
2057,97222,36
2058,95138,36
2059,98346,36
2060,93728,36
2061,84118,36
2062,30360,36
2063,44053,36
2064,37073,36
2065,94602,36
2066,10457,36
2067,14048,36
2068,95403,36
2069,19154,36
2070,95133,36
2071,63111,36
2072,45241,36
2073,19116,36
2074,98418,36
2075,32617,36
2076,90020,35
2077,22204,35
2078,10458,35
2079,91104,35
2080,76504,35
2081,90744,35
2082,75010,35
2083,90045,35
2084,28544,35
2085,92126,35
2086,45204,35
2087,80230,35
2088,81505,35
2089,45212,35
2090,95122,35
2091,75707,35
2092,24202,34
2093,2130,34
2094,80015,34
2095,91406,34
2096,32534,34
2097,98290,34
2098,4937,34
2099,80112,34
2100,20745,34
2101,75006,34
2102,98370,34
2103,31768,34
2104,93536,34
2105,75041,34
2106,94606,34
2107,14228,34
2108,92027,34
2109,81507,34
2110,92562,34
2111,98642,34
2112,91754,34
2113,80031,34
2114,76164,34
2115,37410,34
2116,50126,33
2117,95825,33
2118,10701,33
2119,76028,33
2120,34243,33
2121,84123,33
2122,79118,33
2123,91201,33
2124,48089,33
2125,11005,33
2126,79930,33
2127,46204,33
2128,75603,33
2129,98072,33
2130,48105,33
2131,02130,33
2132,2740,33
2133,92509,33
2134,5488,33
2135,33762,33
2136,96001,33
2137,95054,33
2138,92692,33
2139,95148,32
2140,95110,32
2141,11004,32
2142,91001,32
2143,93065,32
2144,33880,32
2145,11106,32
